n,avgIfdsExposureTime,,make,model,logValues,modelName,makeName
139#2773,0.115741,0.000115741,139,2773,-0.93651277,ION230F/WVER2003.09.09,Polaroid
97#4173,0.125,0.000125,97,4173,-0.903089987,5MP-9P8,CAMERA
73#3243,0.15625,0.00015625,73,3243,-0.806179974,CaplioRR530,RICOH
248#1270,0.162999,0.000162999,248,1270,-0.78781506,DSC,DXGCompany
316#4124,0.182,0.000182,316,4124,-0.739928612,OmegaHD2,CherryMobile
10#3655,0.183993,0.000183993,10,3655,-0.735198699,E7-00poweredbyCameraPro,Nokia
33#3419,0.187161,0.000187161,33,3419,-0.727784643,W302,SonyEricsson
15#2559,0.209574,0.000209574,15,2559,-0.678662597,HTCDesireV,HTC
216#2622,0.225343,0.000225343,216,2622,-0.647155928,CI6330,AcerCorporation
31#3938,0.230415,0.000230415,31,3938,-0.637489252,QV-3500EX,CASIO
16#4256,0.232072,0.000232072,16,4256,-0.634377255,LG-P925,LGElectronics
207#2028,0.232992,0.000232992,207,2028,-0.632658991,LG-P940,LGElectronics=
95#3179,0.23459,0.00023459,95,3179,-0.629690505,DCC420,BenQ
91#3146,0.243013,0.000243013,91,3146,-0.614370493,F900iC,DoCoMo
86#3804,0.25,0.00025,86,3804,-0.602059991,940SH,SHARP
10#3870,0.258799,0.000258799,10,3870,-0.587037406,603,Nokia
39#2923,0.270683,0.000270683,39,2923,-0.567539019,HPPhotoSmartR725(V01.00)d,Hewlett-Packard
109#4236,0.275801,0.000275801,109,4236,-0.559404163,Rise,KYOCERA
210#2548,0.278881,0.000278881,210,2548,-0.554581073,JY-G4,JIAYU
143#286,0.285,0.000285,143,286,-0.54515514,DV,CEC
59#564,0.286112,0.000286112,59,564,-0.543463927,1210KPOWERC@MOPTICALZOOM,TRUST
97#3206,0.287274,0.000287274,97,3206,-0.541703678,4MP-9T2,CAMERA
236#2866,0.3,0.0003,236,2866,-0.522878745,Cameras,DSCimg
19#4209,0.3,0.0003,19,4209,-0.522878745,XT918,Motorola
126#3965,0.301568,0.000301568,126,3965,-0.520614744,AMOI_N820,AMOI
5#3630,0.310078,0.000310078,5,3630,-0.508529046,GT-I9000B,SAMSUNG
5#3740,0.310174,0.000310174,5,3740,-0.508394609,GT-S8500T,SAMSUNG
268#3283,0.3125,0.0003125,268,3283,-0.505149978,DV5100,DV5100M
302#3848,0.3125,0.0003125,302,3848,-0.505149978,LG-P925e,LGElectronicse
86#2578,0.321339,0.000321339,86,2578,-0.493036562,935SH,SHARP
39#3137,0.324915,0.000324915,39,3137,-0.488230239,HPPhotoSmartR818(V01.00)+,Hewlett-Packard
57#2708,0.326097,0.000326097,57,2708,-0.486653197,CE-5330,acer
67#3641,0.326731,0.000326731,67,3641,-0.485809658,XS400,Traveler
19#3512,0.333,0.000333,19,3512,-0.477555766,DROIDX61940001fff80000015a9c,Motorola
19#3547,0.333,0.000333,19,3547,-0.477555766,DROID22f7e0001fff80000015d80,Motorola
19#3548,0.333,0.000333,19,3548,-0.477555766,MotoroiX24740022ffd80000015f,Motorola
19#3564,0.333,0.000333,19,3564,-0.477555766,DROID2GLOBAL00080001ffd8000,Motorola
152#4273,0.333333,0.000333333,152,4273,-0.477121689,F-10D,Fujitsu
19#3601,0.333333,0.000333333,19,3601,-0.477121689,DROID2GLOBAL22280001ffd8000,Motorola
19#3610,0.333333,0.000333333,19,3610,-0.477121689,DROIDX75280001ffd800000a3a9d,Motorola
19#3643,0.333333,0.000333333,19,3643,-0.477121689,MotoA95373020002ffd80000015f,Motorola
19#3644,0.333333,0.000333333,19,3644,-0.477121689,DROIDX402a0001ffd80000015d6d,Motorola
19#3703,0.333333,0.000333333,19,3703,-0.477121689,MB52558900002ffdc00000163c00,Motorola
19#3709,0.333333,0.000333333,19,3709,-0.477121689,DROIDPRO11960021ffd80000015,Motorola
19#3969,0.333333,0.000333333,19,3969,-0.477121689,DROIDX32ec0021ffd800000a3a92,Motorola
19#4208,0.333333,0.000333333,19,4208,-0.477121689,DROIDX28b80001ffd80000015ed9,Motorola
19#4224,0.333333,0.000333333,19,4224,-0.477121689,MB52563ee0002ffdc00000168021,Motorola
240#4127,0.333333,0.000333333,240,4127,-0.477121689,5LF-SF,Mustek
19#4321,0.334001,0.000334001,19,4321,-0.476252233,MilestoneX2,Motorola
85#856,0.348353,0.000348353,85,856,-0.457980445,DROIDRAZRs,motorolam
312#4040,0.348683,0.000348683,312,4040,-0.457569226,tinnomodel,tinnomake
5#344,0.355144,0.000355144,5,344,-0.449595518,GT-I8200,SAMSUNG
10#3679,0.359971,0.000359971,10,3679,-0.443732485,C7-00.1,Nokia
19#851,0.362319,0.000362319,19,851,-0.440908891,DROIDRAZR=,Motorola
19#853,0.362319,0.000362319,19,853,-0.440908891,DROIDRAZRP,Motorola
81#848,0.363372,0.000363372,81,848,-0.439648541,DROIDRAZRo,motorola1
104#1331,0.364,0.000364,104,1331,-0.438898616,VIBEX2,Lenovo
5#4266,0.364,0.000364,5,4266,-0.438898616,GT-I9080L,SAMSUNG
86#3587,0.364,0.000364,86,3587,-0.438898616,IS03,SHARP
5#3844,0.372,0.000372,5,3844,-0.42945706,SCH-I400,SAMSUNG
5#2535,0.376599,0.000376599,5,2535,-0.424120838,GT-S8000H,SAMSUNG
137#3491,0.38,0.00038,137,3491,-0.420216403,RevioC2,Konica
5#3665,0.386997,0.000386997,5,3665,-0.412292402,SGH-T959D,SAMSUNG
96#1631,0.392795,0.000392795,96,1631,-0.405834049,KonicaDigitalCameraKD-500Z,KonicaCorporation
78#2538,0.393523,0.000393523,78,2538,-0.40502988,Z008D,ASUS
23#4253,0.396983,0.000396983,23,4253,-0.401228091,V401D,Vodafone
14#40,0.4,0.0004,14,40,-0.397940009,CanonPowerShotSD1000,Canon
19#3697,0.4,0.0004,19,3697,-0.397940009,DROID2GLOBAL3b7e0001ffd8000,Motorola
83#854,0.400634,0.000400634,83,854,-0.397252197,DROIDRAZRt,motorolae
278#3383,0.40783,0.00040783,278,3383,-0.389520831,TRENDV2,MIRAGETREN
14#2860,0.408213,0.000408213,14,2860,-0.389113169,CanonELURA90,Canon
16#3724,0.412246,0.000412246,16,3724,-0.38484355,LG-P999,LGElectronics
58#554,0.413168,0.000413168,58,554,-0.383873322,TegraCamera,NVIDIA
15#2088,0.420176,0.000420176,15,2088,-0.376568758,HTC_One_max,HTC
153#3090,0.423,0.000423,153,3090,-0.373659633,E850,GeneralImagingCo.
5#2563,0.432,0.000432,5,2563,-0.364516253,GT-I9152,SAMSUNG
15#2581,0.440141,0.000440141,15,2581,-0.356408174,HTC6990LVW,HTC
9#770,0.442337,0.000442337,9,770,-0.354246732,FE220X785,OLYMPUSIMAGINGCORP.
15#4254,0.45,0.00045,15,4254,-0.346787486,One,HTC
18#3619,0.451295,0.000451295,18,3619,-0.345539478,KODAKEASYSHAREC183Digital,EASTMANKODAKCOMPANY
33#3433,0.472289,0.000472289,33,3433,-0.325792169,U5i,SonyEricsson
19#3833,0.474782,0.000474782,19,3833,-0.323505754,DROIDPro,Motorola
19#3972,0.47485,0.00047485,19,3972,-0.323443558,XT890,Motorola
18#209,0.484966,0.000484966,18,209,-0.314288708,KODAKDX7590ZOOMDIGITALCAM,EASTMANKODAKCOMPANY
14#3175,0.488,0.000488,14,3175,-0.311580178,CanonDC22,Canon
18#2402,0.488043,0.000488043,18,2402,-0.311541912,KODAKEASYSHAREM341Digital,EASTMANKODAKCOMPANY
19#3693,0.488281,0.000488281,19,3693,-0.311330175,DROID26eea0001fff80000015d67,Motorola
19#4193,0.488281,0.000488281,19,4193,-0.311330175,DROID2504e0001fff80000015d95,Motorola
51#3327,0.488998,0.000488998,51,3327,-0.310692917,6MP-9FS,DigitalCamera
5#3935,0.489853,0.000489853,5,3935,-0.309934228,GalaxyX,SAMSUNG
14#2863,0.491159,0.000491159,14,2863,-0.308777894,CanonELURA50,Canon
5#4003,0.491642,0.000491642,5,4003,-0.308351023,SGH-I927,SAMSUNG
73#3100,0.493827,0.000493827,73,3100,-0.306425169,CaplioRR770,RICOH
19#3885,0.495141,0.000495141,19,3885,-0.305271111,MB525047c0001ffd800000a3aac9,Motorola
75#3208,0.497979,0.000497979,75,3208,-0.302788971,ViviCam6324,Vivitar
19#4042,0.5,0.0005,19,4042,-0.301029996,DROID_RAZR_HD,Motorola
75#2600,0.5,0.0005,75,2600,-0.301029996,VIVICAM5340S,Vivitar
212#2553,0.502008,0.000502008,212,2553,-0.299289362,AL730,Altek
19#4009,0.502008,0.000502008,19,4009,-0.299289362,MB6114c3c0001ffd80000015ed13,Motorola
208#2511,0.519888,0.000519888,208,2511,-0.284090207,LG-P940u,LGElectronicsp
39#2625,0.52622,0.00052622,39,2625,-0.27883265,HPPhotoSmartR727(V01.00)+,Hewlett-Packard
97#3420,0.529661,0.000529661,97,3420,-0.276002004,7MP-9GA,CAMERA
9#3215,0.531999,0.000531999,9,3215,-0.274089184,FE15X10,OLYMPUSIMAGINGCORP.
10#3743,0.535619,0.000535619,10,3743,-0.271144026,N8-00poweredbyShutterPro,Nokia
20#4002,0.555,0.000555,20,4002,-0.255707017,Blackberry10DevAlpha,ResearchInMotion
26#133,0.555,0.000555,26,133,-0.255707017,<DigimaxS500/KenoxS500/,SamsungTechwin
122#1394,0.570847,0.000570847,122,1394,-0.243480277,S9311,Tinno
14#4170,0.581,0.000581,14,4170,-0.235823868,CanonMVX350i,Canon
10#342,0.596917,0.000596917,10,342,-0.224086052,C6-01,Nokia
298#3753,0.597075,0.000597075,298,3753,-0.223971113,DVR850W,ZoranCorporation
19#852,0.597703,0.000597703,19,852,-0.223514564,DROIDRAZRe,Motorola
11#2976,0.598733,0.000598733,11,2976,-0.222766804,PENTAXOptioE10,PENTAXCorporation
14#3003,0.606778,0.000606778,14,3003,-0.216970174,CanonMV730i,Canon
16#1705,0.614333,0.000614333,16,1705,-0.211596155,LG-E610,LGElectronics
64#3104,0.615,0.000615,64,3104,-0.211124884,VIVICAM-4345,ViviCam
19#1343,0.622724,0.000622724,19,1343,-0.205704396,MB525,Motorola
14#626,0.625,0.000625,14,626,-0.204119983,CanonPowerShotSD800IS,Canon
14#3153,0.625,0.000625,14,3153,-0.204119983,CanonOPTURA50,Canon
31#379,0.625,0.000625,31,379,-0.204119983,QV-3EX,CASIO
39#2871,0.625,0.000625,39,2871,-0.204119983,HPPhotoSmartR717(V01.00)d,Hewlett-Packard
39#3098,0.625,0.000625,39,3098,-0.204119983,HPPhotoSmartR507(V01.00)d,Hewlett-Packard
19#3707,0.625,0.000625,19,3707,-0.204119983,DROIDX00260000fff80000015a93,Motorola
19#3955,0.625,0.000625,19,3955,-0.204119983,A95340580002ffdc000001681263,Motorola
5#4090,0.625,0.000625,5,4090,-0.204119983,SHW-M110S,SAMSUNG
97#2880,0.627202,0.000627202,97,2880,-0.202592565,5MP-9X9,CAMERA
78#3985,0.62986,0.00062986,78,3985,-0.200755971,ASUSTransformerPadTF700T,ASUS
