n,avgIfdsFocalLength,make,model,logValues,modelName,makeName
111#1204,1,111,1204,0,......,....
189#2281,1,189,2281,0,BenQ_E72,BenQ_E72
116#1299,1,116,1299,0,KODAKPIXPROSP360,JKImagingLtd.
70#700,1,70,700,0,IM-A850K,PANTECH
69#694,1,69,694,0,X-8sports,Rollei
5#2155,1,5,2155,0,SCH-U960,SAMSUNG
5#3857,1,5,3857,0,GT-E2370,SAMSUNG
5#3898,1,5,3898,0,GT-E2121B,SAMSUNG
330#4314,1,330,4314,0,GT-E2120L,SAMSUNG.L...
7#119,1,7,119,0,ST26i,Sony
7#1385,1,7,1385,0,C1604,Sony
13#755,1.5,13,755,0.176091259,HERO4Black,GoPro
3#4,2,3,4,0.301029996,iPhone5,apple
3#4037,2,3,4037,0.301029996,iPad2G,apple
22#110,2,22,110,0.301029996,AquarisE5FHD,bq
136#3505,2,136,3505,0.301029996,GZ-MS120,JVC
136#3507,2,136,3507,0.301029996,GZ-MG630,JVC
136#3606,2,136,3606,0.301029996,GZ-MG22,JVC
136#3799,2,136,3799,0.301029996,GZ-MG31,JVC
136#4169,2,136,4169,0.301029996,GZ-MS100,JVC
310#4,2,310,4,0.301029996,iPhone5,Lotogram
19#1344,2,19,1344,0.301029996,MotoE2,Motorola
4#3746,2,4,3746,0.301029996,SDR-S50,Panasonic
4#4313,2,4,4313,0.301029996,NV-DS65,Panasonic
60#566,2,60,566,0.301029996,QCAM-AA,QCOM-AA
5#3834,2,5,3834,0.301029996,SCH-U380,SAMSUNG
7#2763,2,7,2763,0.301029996,DCR-DVD92,Sony
7#2824,2,7,2824,0.301029996,DCR-HC30,Sony
7#3173,2,7,3173,0.301029996,DCR-DVD106E,Sony
7#3204,2,7,3204,0.301029996,DCR-DVD7E,Sony
7#3379,2,7,3379,0.301029996,DCR-SR67E,Sony
7#3721,2,7,3721,0.301029996,DCR-TRV330E,Sony
3#460,2.5,3,460,0.397940009,iPadmini,apple
78#953,2.5,78,953,0.397940009,Nexus7,ASUS
19#3726,2.5,19,3726,0.397940009,ME860,Motorola
5#112,2.5,5,112,0.397940009,GalaxyNexus,SAMSUNG
5#4241,2.5,5,4241,0.397940009,SPH-M830,SAMSUNG
7#2551,2.5,7,2551,0.397940009,C6802,Sony
307#3924,3,307,3924,0.477121255,HD2..0..`...,|GoPro.||~..|
194#2324,3,194,2324,0.477121255,7050Y,ALCATELONETOUCH
68#687,3,68,687,0.477121255,MST-X7,AMON
3#63,3,3,63,0.477121255,iPad,apple
3#598,3,3,598,0.477121255,iPadAir,apple
3#1636,3,3,1636,0.477121255,iPadAir2,apple
3#3617,3,3,3617,0.477121255,iPad2,apple
3#4150,3,3,4150,0.477121255,iPadMini1G,apple
78#1875,3,78,1875,0.477121255,T00J,ASUS
14#3253,3,14,3253,0.477121255,CanonDC201,Canon
14#3685,3,14,3685,0.477121255,CanonDC330,Canon
14#4130,3,14,4130,0.477121255,CanonVIXIAHFR20,Canon
117#1312,3,117,1312,0.477121255,Streak,DELL
91#946,3,91,946,0.477121255,N705imyu,DoCoMo
91#2034,3,91,2034,0.477121255,D903i,DoCoMo
91#2875,3,91,2875,0.477121255,N903i,DoCoMo
91#3322,3,91,3322,0.477121255,N703iD,DoCoMo
