date,canon,sony,nikon corporation,apple,panasonic
1/1/1999,0,0,0,0,0
1/1/2000,474,3,89,0,15
1/1/2001,287,460,5,0,1
1/1/2002,1336,952,24,0,21
1/1/2003,3816,1571,77,0,41
1/1/2004,8167,4449,573,0,723
1/1/2005,17514,9882,1353,0,2518
1/1/2006,24564,13921,3148,0,2614
1/1/2007,37407,20190,8569,507,6659
1/1/2008,46659,20618,10195,2235,8941
1/1/2009,45809,23120,12057,2945,15401
1/1/2010,41447,18966,11839,6737,15229
1/1/2011,30434,18718,13024,14038,14113
1/1/2012,26362,25147,12335,19371,14373
1/1/2013,33343,41166,25188,30533,11650
1/1/2014,10951,14058,7249,23178,6579
